Position, Run #1
Time ( s )	Position ( m )
0.0031	1.060
0.1031	1.060
0.2031	1.058
0.3030	1.044
0.4029	0.997
0.5027	0.939
0.6026	0.889
0.7024	0.842
0.8023	0.797
0.9022	0.754
1.0021	0.716
1.1020	0.678
1.2019	0.643
1.3018	0.609
1.4017	0.576
1.5016	0.548
1.6015	0.523
1.7015	0.501
1.8014	0.481
1.9013	0.463
2.0013	0.448
2.1013	0.436
2.2012	0.426
2.3012	0.418
2.4012	0.413
2.5012	0.410
2.6012	0.409
2.7012	0.411
2.8012	0.414
2.9012	0.419
3.0012	0.425
3.1013	0.433
3.2013	0.443
3.3013	0.454
3.4014	0.467
3.5014	0.482
3.6014	0.497
3.7015	0.515
3.8016	0.534
3.9016	0.554
4.0017	0.576
4.1017	0.600
4.2018	0.625
4.3020	0.681
4.4020	0.694
4.5020	0.703
4.6021	0.730
4.7022	0.760
4.8023	0.789
4.9024	0.816
5.0025	0.846
5.1026	0.877
5.2026	0.909
5.3027	0.943
5.4028	0.976
5.5029	1.010
5.6030	1.045
5.7031	1.058
5.8031	1.057
5.9031	1.058
6.0031	1.056
6.1031	1.056
